prefecture_id,ordinance_designated_city_id,name,slug,jis_code,bounding_box
1,3,札幌市中央区,sapporoshichuuouku,01101,"141.20173800,42.99746700 141.39002000,43.08649000"
1,3,札幌市北区,sapporoshikitaku,01102,"141.26622800,43.06694200 141.44179700,43.18979000"
1,3,札幌市東区,sapporoshihigashiku,01103,"141.34316800,43.06852000 141.45732800,43.16735800"
1,3,札幌市白石区,sapporoshishiroishiku,01104,"141.36652600,43.02213300 141.47351900,43.10012100"
1,3,札幌市豊平区,sapporoshitoyohiraku,01105,"141.35252100,42.92633300 141.43411800,43.05765200"
1,3,札幌市南区,sapporoshiminamiku,01106,"140.99051600,42.78072600 141.39758300,43.12051700"
1,3,札幌市西区,sapporoshinishiku,01107,"141.15254100,43.01512500 141.32807800,43.11679800"
1,3,札幌市厚別区,sapporoshiatsubetsuku,01108,"141.44391200,43.00686800 141.50544400,43.09624900"
1,3,札幌市手稲区,sapporoshiteineku,01109,"141.15214600,43.07640300 141.28620900,43.16037600"
1,3,札幌市清田区,sapporoshikiyotaku,01110,"141.38674600,42.88829400 141.48217500,43.02596700"
1,,函館市,hakodateshi,01202,"140.69245400,41.71001400 141.18740900,42.00931100"
1,,小樽市,otarushi,01203,"140.84480400,43.06088900 141.29256700,43.23985900"
1,,旭川市,asahikawashi,01204,"142.14823900,43.54413000 142.74149000,43.95585600"
1,,室蘭市,muroranshi,01205,"140.90810600,42.30085600 141.05431000,42.43733600"
1,,釧路市,kushiroshi,01206,"143.70292600,42.84249300 144.48578900,43.53120900"
1,,帯広市,obi-hiroshi,01207,"142.68667900,42.61478500 143.26847600,42.95276300"
1,,北見市,kitamishi,01208,"143.13564800,43.59152600 144.12239100,44.18708900"
1,,夕張市,yuubarishi,01209,"141.90240000,42.85974100 142.33008700,43.22549000"
1,,岩見沢市,iwamizawashi,01210,"141.61028000,43.07541700 142.04377600,43.33814100"
1,,網走市,abashirishi,01211,"144.01951400,43.77847700 144.43266900,44.11578500"
1,,留萌市,rumoishi,01212,"141.60790300,43.75618800 141.90086300,43.99381000"
1,,苫小牧市,tomakomaishi,01213,"141.33902700,42.57262500 141.82985800,42.78811300"
1,,稚内市,wakkanaishi,01214,"141.56827900,45.16899900 142.05368700,45.52302500"
1,,美唄市,bibaishi,01215,"141.69450500,43.24826400 142.06212900,43.41985300"
1,,芦別市,ashibetsushi,01216,"142.04599200,43.20661100 142.36819300,43.66090600"
1,,江別市,ebetsushi,01217,"141.44443700,43.01611500 141.66844300,43.17278800"
1,,赤平市,akabirashi,01218,"141.97379400,43.48182500 142.14939000,43.64800500"
1,,紋別市,mombetsushi,01219,"143.09503900,43.99161400 143.56134600,44.40026100"
1,,士別市,shibetsushi,01220,"142.17209600,43.91505000 142.90246300,44.29725700"
1,,名寄市,nayoroshi,01221,"142.27792000,44.17254600 142.64038700,44.48329800"
1,,三笠市,mika-sashi,01222,"141.79849900,43.14296400 142.16153100,43.35886700"
1,,根室市,nemuroshi,01223,"145.19549500,43.15858700 146.36825400,43.65163800"
1,,千歳市,chitoseshi,01224,"141.17229500,42.68122800 141.86983300,42.95331400"
1,,滝川市,takikawashi,01225,"141.87810800,43.52900700 142.08612000,43.67265000"
1,,砂川市,sunagawashi,01226,"141.86907900,43.44934700 141.99811400,43.56366300"
1,,歌志内市,utashinaishi,01227,"141.96900800,43.43604200 142.09355000,43.53533400"
1,,深川市,fukagawashi,01228,"141.96079400,43.63094700 142.24007600,44.04952800"
1,,富良野市,furano-shi,01229,"142.27161100,43.15662600 142.67780500,43.40133100"
1,,登別市,noboribetsushi,01230,"140.96852000,42.35164200 141.19200300,42.55494100"
1,,恵庭市,eniwashi,01231,"141.23530400,42.79570200 141.65259300,42.98780900"
1,,伊達市,dateshi,01233,"140.77230000,42.37952200 141.19903700,42.82743700"
1,,北広島市,kitahiroshimashi,01234,"141.41338000,42.89119700 141.59698300,43.02427900"
1,,石狩市,ishikarishi,01235,"141.24730300,43.13366500 141.59822500,43.73810600"
1,,北斗市,hokutoshi,01236,"140.42731700,41.72230900 140.71961200,41.99993300"
1,,石狩郡当別町,ishikariguntoubetsuchou,01303,"141.39811200,43.16196500 141.72773600,43.58488100"
1,,石狩郡新篠津村,ishikarigunshinshinotsumura,01304,"141.56654100,43.15766800 141.67299300,43.28621100"
1,,松前郡松前町,matsumaegummatsumaechou,01331,"139.33427100,41.35210100 140.20844800,41.63231300"
1,,松前郡福島町,matsumaegunfukushimachou,01332,"140.16442300,41.40464000 140.40901500,41.62703100"
1,,上磯郡知内町,kamiisogunshiriuchichou,01333,"140.21073000,41.51670800 140.43964400,41.66901400"
1,,上磯郡木古内町,kamiisogunkikonaichou,01334,"140.28101100,41.65194500 140.55556700,41.81366500"
1,,亀田郡七飯町,kamedagunnanaechou,01337,"140.57502700,41.84636000 140.78775200,42.06308600"
1,,茅部郡鹿部町,kayabegunshikabechou,01343,"140.67723700,41.92543500 140.86467700,42.09729100"
1,,茅部郡森町,kayabegummorimachi,01345,"140.39337100,41.96072200 140.76722500,42.17673000"
1,,二海郡八雲町,futamigunyakumochou,01346,"139.92130600,42.02314400 140.45684600,42.39498200"
1,,山越郡長万部町,yamakoshigunoshamambechou,01347,"140.18768400,42.37476100 140.54642600,42.63200700"
1,,檜山郡江差町,hiyamagunesashichou,01361,"140.10998100,41.80976800 140.26113300,41.97747300"
1,,檜山郡上ノ国町,hiyamagunkaminokunichou,01362,"139.99198200,41.57579600 140.35835900,41.85704700"
1,,檜山郡厚沢部町,hiyamagunassabuchou,01363,"140.15104500,41.78714900 140.47349600,42.05401500"
1,,爾志郡乙部町,nishigunotobechou,01364,"140.07023500,41.95243900 140.28031300,42.09415500"
1,,奥尻郡奥尻町,okushirigunokushirichou,01367,"139.40391400,42.05186800 139.56325600,42.25263500"
1,,瀬棚郡今金町,setanagunimakanechou,01370,"139.92234900,42.27213400 140.26611100,42.61793300"
1,,久遠郡せたな町,kudougunsetanachou,01371,"139.76607500,42.13505600 140.03840800,42.61682700"
1,,島牧郡島牧村,shimamakigunshimamakimura,01391,"139.82315100,42.54506800 140.23232600,42.80643500"
1,,寿都郡寿都町,suttsugunsuttsuchou,01392,"140.17316800,42.72077100 140.38046300,42.87761300"
1,,寿都郡黒松内町,suttsugunkuromatsunaichou,01393,"140.19517400,42.58755900 140.55669300,42.77082900"
1,,磯谷郡蘭越町,isoyagunrankoshichou,01394,"140.35855100,42.63548800 140.64317700,42.91325500"
1,,虻田郡ニセコ町,abutagunnisekochou,01395,"140.56227800,42.70726700 140.80699600,42.87802600"
1,,虻田郡真狩村,abutagummakkarimura,01396,"140.72008200,42.65772900 140.91040400,42.82720400"
1,,虻田郡留寿都村,abutagunrusutsumura,01397,"140.77864600,42.66912300 141.01067100,42.77245400"
1,,虻田郡喜茂別町,abutagunkimobetsuchou,01398,"140.80700200,42.71473200 141.10713500,42.88634600"
1,,虻田郡京極町,abutagunkyougokuchou,01399,"140.80700000,42.80465000 141.05269400,42.98613900"
1,,虻田郡倶知安町,abutagunkucchanchou,01400,"140.61782700,42.82042000 140.92430800,43.01517300"
1,,岩内郡共和町,iwanaigunkyouwachou,01401,"140.52302200,42.88755900 140.77153600,43.09635700"
1,,岩内郡岩内町,iwanaiguniwanaichou,01402,"140.38071100,42.89923800 140.53491600,43.00027400"
1,,古宇郡泊村,furuuguntomarimura,01403,"140.44456600,43.02844300 140.59059700,43.15994800"
1,,古宇郡神恵内村,furuugunkamoenaimura,01404,"140.32515400,43.11873000 140.54068200,43.28185300"
1,,積丹郡積丹町,shakotangunshakotanchou,01405,"140.33638800,43.21172000 140.63098700,43.37581700"
1,,古平郡古平町,furubiragunfurubirachou,01406,"140.52495800,43.07805200 140.70040600,43.29485500"
1,,余市郡仁木町,yoichigunnikichou,01407,"140.63194000,43.00153300 140.83335600,43.17521200"
1,,余市郡余市町,yoichigunyoichichou,01408,"140.64627500,43.11068900 140.92372100,43.25248500"
1,,余市郡赤井川村,yoichigunakaigawamura,01409,"140.76099400,42.95466500 141.04489200,43.13234900"
1,,空知郡南幌町,sorachigunnamporochou,01423,"141.56442500,42.99597500 141.70963000,43.12079600"
1,,空知郡奈井江町,sorachigunnaiechou,01424,"141.82278100,43.37200900 142.05398200,43.46081800"
1,,空知郡上砂川町,sorachigunkamisunagawachou,01425,"141.94523700,43.40911400 142.07248300,43.48510000"
1,,夕張郡由仁町,yuubarigunyunichou,01427,"141.74596800,42.83695200 142.04350200,43.05339700"
1,,夕張郡長沼町,yuubarigunnaganumachou,01428,"141.57966700,42.88511300 141.77007600,43.08388800"
1,,夕張郡栗山町,yuubarigunkuriyamachou,01429,"141.75555700,42.90201600 141.97315000,43.13043900"
1,,樺戸郡月形町,kabatoguntsukigatachou,01430,"141.58096400,43.28357100 141.77387700,43.45966900"
1,,樺戸郡浦臼町,kabatogunurausuchou,01431,"141.72031600,43.35681700 141.86813900,43.50140600"
1,,樺戸郡新十津川町,kabatogunshintotsukawachou,01432,"141.49066500,43.44299200 141.90599400,43.70831100"
1,,雨竜郡妹背牛町,uryuugummoseushichou,01433,"141.89839200,43.66168300 141.99433500,43.74887000"
1,,雨竜郡秩父別町,uryuugunchippubetsuchou,01434,"141.89488200,43.74464700 142.01075200,43.81431300"
1,,雨竜郡雨竜町,uryuugunuryuuchou,01436,"141.52496500,43.60657900 141.92145600,43.74652500"
1,,雨竜郡北竜町,uryuugunhokuryuuchou,01437,"141.52324200,43.70526500 141.91189300,43.85153400"
1,,雨竜郡沼田町,uryuugunnumatachou,01438,"141.85832100,43.76742600 142.08565900,44.00630300"
1,,上川郡鷹栖町,kamikawaguntakasuchou,01452,"142.27124700,43.78655200 142.42136600,43.96302200"
1,,上川郡東神楽町,kamikawagunhigashikagurachou,01453,"142.39094600,43.62411500 142.62844200,43.73148000"
1,,上川郡当麻町,kamikawaguntoumachou,01454,"142.45818000,43.73892600 142.71282300,43.89769900"
1,,上川郡比布町,kamikawagumpippuchou,01455,"142.43197500,43.83830200 142.54393300,43.99376500"
1,,上川郡愛別町,kamikawagunaibetsuchou,01456,"142.51029300,43.82874200 142.77437900,44.02942300"
1,,上川郡上川町,kamikawagunkamikawachou,01457,"142.68142800,43.52619000 143.17973900,43.95316700"
1,,上川郡東川町,kamikawagunhigashikawachou,01458,"142.47332000,43.61547900 142.90733300,43.75076500"
1,,上川郡美瑛町,kamikawagumbieichou,01459,"142.32016600,43.41763400 142.91197000,43.66896800"
1,,空知郡上富良野町,sorachigunkamifuranochou,01460,"142.38229400,43.38156400 142.68621300,43.55126600"
1,,空知郡中富良野町,sorachigunnakafuranochou,01461,"142.34589000,43.35147800 142.56162000,43.47093300"
1,,空知郡南富良野町,sorachigumminamifuranochou,01462,"142.24315100,43.00485400 142.77893900,43.40492800"
1,,勇払郡占冠村,yuufutsugunshimukappumura,01463,"142.27265700,42.88388300 142.72753500,43.13323500"
1,,上川郡和寒町,kamikawagunwassamuchou,01464,"142.23577100,43.93927200 142.49161300,44.11346100"
1,,上川郡剣淵町,kamikawagunkembuchichou,01465,"142.26787900,44.03723000 142.44761700,44.18672000"
1,,上川郡下川町,kamikawagunshimokawachou,01468,"142.52927800,44.14184000 142.88230000,44.48605100"
1,,中川郡美深町,nakagawagumbifukachou,01469,"142.17939400,44.39332700 142.65708800,44.67088800"
1,,中川郡音威子府村,nakagawagunotoineppumura,01470,"142.13981000,44.60292300 142.41852200,44.82716200"
1,,中川郡中川町,nakagawagunnakagawachou,01471,"141.97568300,44.45994600 142.22248200,44.90341100"
1,,雨竜郡幌加内町,uryuugunhorokanaichou,01472,"142.02121600,43.90549000 142.32389000,44.47876000"
1,,増毛郡増毛町,mashikegummashikechou,01481,"141.33740500,43.68444500 141.70467000,43.90304000"
1,,留萌郡小平町,rumoigunobirachou,01482,"141.64942100,43.92519600 142.07812300,44.21532500"
1,,苫前郡苫前町,tomamaeguntomamaechou,01483,"141.64673000,44.09067800 142.08823200,44.34761300"
1,,苫前郡羽幌町,tomamaegunhaborochou,01484,"141.29074900,44.20687800 142.06640200,44.45508700"
1,,苫前郡初山別村,tomamaegunshosambetsumura,01485,"141.74658800,44.38707700 141.93928800,44.64271100"
1,,天塩郡遠別町,teshiogunembetsuchou,01486,"141.76286700,44.35477600 142.11601700,44.84528700"
1,,天塩郡天塩町,teshiogunteshiochou,01487,"141.71469900,44.76308400 142.02845000,44.99333700"
1,,宗谷郡猿払村,souyagunsarufutsumura,01511,"141.95877800,45.05076200 142.34500600,45.40153500"
1,,枝幸郡浜頓別町,esashigunhamatombetsuchou,01512,"142.15278300,44.96807200 142.50333200,45.19231600"
1,,枝幸郡中頓別町,esashigunnakatombetsuchou,01513,"142.12627100,44.77813600 142.43093800,45.02516300"
1,,枝幸郡枝幸町,esashigunesashichou,01514,"142.30254800,44.57816400 142.84199700,45.06007100"
1,,天塩郡豊富町,teshioguntoyotomichou,01516,"141.57713800,45.03177400 142.01925200,45.27421500"
1,,礼文郡礼文町,rebungunrebunchou,01517,"140.96090300,45.27329400 141.06742200,45.48028200"
1,,利尻郡利尻町,rishirigunrishirichou,01518,"141.12661700,45.09655600 141.25637800,45.22448900"
1,,利尻郡利尻富士町,rishirigunrishirifujichou,01519,"141.14901400,45.10053300 141.33042900,45.25978200"
1,,天塩郡幌延町,teshiogunhoronobechou,01520,"141.66296200,44.87741600 142.17280100,45.10053100"
1,,網走郡美幌町,abashirigumbihorochou,01543,"143.91115900,43.59791500 144.33195100,43.89371600"
1,,網走郡津別町,abashiriguntsubetsuchou,01544,"143.77444600,43.46098200 144.23545200,43.76785500"
1,,斜里郡斜里町,sharigunsharichou,01545,"144.55391700,43.75698300 145.33762000,44.34709800"
1,,斜里郡清里町,sharigunkiyosatochou,01546,"144.48097100,43.60067200 144.73423700,43.88358800"
1,,斜里郡小清水町,sharigunkoshimizuchou,01547,"144.33170600,43.67819100 144.56153000,43.95582400"
1,,常呂郡訓子府町,tokorogunkunneppuchou,01549,"143.61682500,43.61641200 143.83437700,43.78384400"
1,,常呂郡置戸町,tokorogunoketochou,01550,"143.17302100,43.50819900 143.67679300,43.77575500"
1,,常呂郡佐呂間町,tokorogunsaromachou,01552,"143.57099900,43.87465300 143.96673600,44.14438700"
1,,紋別郡遠軽町,mombetsugunengaruchou,01555,"143.00689800,43.69673400 143.59080000,44.11221300"
1,,紋別郡湧別町,mombetsugunyuubetsuchou,01559,"143.41070400,43.98704300 143.77643600,44.25173700"
1,,紋別郡滝上町,mombetsuguntakinouechou,01560,"142.83809600,43.91378500 143.19779000,44.29182600"
1,,紋別郡興部町,mombetsugunokoppechou,01561,"142.85620900,44.28652000 143.27679400,44.49787100"
1,,紋別郡西興部村,mombetsugunnishiokoppemura,01562,"142.80211100,44.21543400 143.06380200,44.43906800"
1,,紋別郡雄武町,mombetsugunoumuchou,01563,"142.58379800,44.43183400 143.10040800,44.68722300"
1,,網走郡大空町,abashirigunoozorachou,01564,"144.04697600,43.70526300 144.38784400,43.96801700"
1,,虻田郡豊浦町,abutaguntoyourachou,01571,"140.53300000,42.56621300 140.76328100,42.71821400"
1,,有珠郡壮瞥町,usugunsoubetsuchou,01575,"140.82472900,42.50346300 141.08807800,42.64595700"
1,,白老郡白老町,shiraoigunshiraoichou,01578,"141.08492600,42.45143200 141.42485100,42.71391000"
1,,勇払郡厚真町,yuufutsugunatsumachou,01581,"141.79898100,42.58650900 142.11226600,42.87409300"
1,,虻田郡洞爺湖町,abutaguntouyakochou,01584,"140.72498300,42.52062800 140.97194700,42.69933800"
1,,勇払郡安平町,yuufutsugunabirachou,01585,"141.73661900,42.69662400 141.95439400,42.92228500"
1,,勇払郡むかわ町,yuufutsugummukawachou,01586,"141.87700000,42.52872300 142.33407500,42.98720400"
1,,沙流郡日高町,sarugunhidakachou,01601,"141.96683700,42.42106900 142.78777300,43.00966100"
1,,沙流郡平取町,sarugumbiratorichou,01602,"142.04728000,42.52134200 142.69502800,42.89152800"
1,,新冠郡新冠町,niikappugunniikappuchou,01604,"142.22395900,42.34501200 142.76393200,42.73858900"
1,,浦河郡浦河町,urakawagunurakawachou,01607,"142.64912400,42.13596200 143.11712700,42.46699700"
1,,様似郡様似町,samanigunsamanichou,01608,"142.86395800,42.06066400 143.20330300,42.26032600"
1,,幌泉郡えりも町,horoizumigunerimochou,01609,"143.06767100,41.92387700 143.32623500,42.19109700"
1,,日高郡新ひだか町,hidakagunshinhidakachou,01610,"142.33446400,42.20889100 142.89115600,42.66751800"
1,,河東郡音更町,katougunotofukechou,01631,"143.04077800,42.92542100 143.37528400,43.16674000"
1,,河東郡士幌町,katougunshihorochou,01632,"143.09961700,43.07782600 143.41573800,43.24953300"
1,,河東郡上士幌町,katougunkamishihorochou,01633,"143.00848500,43.18758000 143.41203800,43.59537000"
1,,河東郡鹿追町,katougunshikaoichou,01634,"142.92275100,43.01134000 143.15016100,43.39651100"
1,,上川郡新得町,kamikawagunshintokuchou,01635,"142.67171200,43.01274400 143.04542200,43.57005900"
1,,上川郡清水町,kamikawagunshimizuchou,01636,"142.74058400,42.83819800 143.02416100,43.12024900"
1,,河西郡芽室町,kasaigummemurochou,01637,"142.71637100,42.72206100 143.14818600,43.03409900"
1,,河西郡中札内村,kasaigunnakasatsunaimura,01638,"142.75142100,42.56019000 143.19713600,42.73276900"
1,,河西郡更別村,kasaigunsarabetsumura,01639,"143.04047000,42.57072100 143.30404200,42.72560500"
1,,広尾郡大樹町,hirooguntaikichou,01641,"142.82515300,42.37145800 143.52423700,42.67704700"
1,,広尾郡広尾町,hiroogunhiroochou,01642,"142.99979900,42.16001400 143.38815600,42.44856200"
1,,中川郡幕別町,nakagawagummakubetsuchou,01643,"143.20329700,42.50925400 143.45265400,42.94288400"
1,,中川郡池田町,nakagawagunikedachou,01644,"143.31991100,42.87389500 143.59121000,43.11545600"
1,,中川郡豊頃町,nakagawaguntoyokorochou,01645,"143.32804900,42.57352500 143.69072700,42.89398100"
1,,中川郡本別町,nakagawagunhombetsuchou,01646,"143.38871200,43.05671500 143.79364600,43.24459700"
1,,足寄郡足寄町,ashorogunashorochou,01647,"143.21115500,43.18818200 144.02976100,43.55931800"
1,,足寄郡陸別町,ashorogunrikubetsuchou,01648,"143.45637200,43.34574000 143.94955400,43.64060900"
1,,十勝郡浦幌町,tokachigunurahorochou,01649,"143.54904100,42.69821500 143.86935500,43.16450000"
1,,釧路郡釧路町,kushirogunkushirochou,01661,"144.39712300,42.93257800 144.78597500,43.11883300"
1,,厚岸郡厚岸町,akkeshigunakkeshichou,01662,"144.56976400,42.94591300 145.00748200,43.35169300"
1,,厚岸郡浜中町,akkeshigunhamanakachou,01663,"144.91243700,42.99083700 145.32620400,43.26104000"
1,,川上郡標茶町,kawakamigunshibechachou,01664,"144.23774400,43.02199200 144.81685300,43.57740300"
1,,川上郡弟子屈町,kawakamigunteshikagachou,01665,"144.21684400,43.38814100 144.59490500,43.70494600"
1,,阿寒郡鶴居村,akanguntsuruimura,01667,"144.12789500,43.07272600 144.45131500,43.45373700"
1,,白糠郡白糠町,shiranukagunshiranukachou,01668,"143.75472000,42.92057500 144.22822400,43.37531800"
1,,野付郡別海町,notsukegumbetsukaichou,01691,"144.63788500,43.21492900 145.39061400,43.61510800"
1,,標津郡中標津町,shibetsugunnakashibetsuchou,01692,"144.57057600,43.46102200 145.11356700,43.70214300"
1,,標津郡標津町,shibetsugunshibetsuchou,01693,"144.72011000,43.56365000 145.24560000,43.90238600"
1,,目梨郡羅臼町,menashigunrausuchou,01694,"144.87675900,43.85939800 145.36779800,44.34130900"
2,,青森市,aomorishi,02201,"140.52028400,40.60593300 140.98083200,40.97029400"
2,,弘前市,hirosakishi,02202,"140.15471500,40.46725200 140.59861600,40.76132700"
2,,八戸市,hachinoheshi,02203,"141.35443800,40.34721300 141.64691800,40.60606400"
2,,黒石市,kuroishishi,02204,"140.56467500,40.53527500 140.84509100,40.69253800"
2,,五所川原市,goshogawarashi,02205,"140.30585300,40.72944200 140.59226000,41.12797300"
2,,十和田市,towa-dashi,02206,"140.85133300,40.42017400 141.30331500,40.70186300"
2,,三沢市,misa-washi,02207,"141.30671000,40.65976300 141.44431100,40.88672400"
2,,むつ市,mutsu-shi,02208,"140.76392500,41.11893500 141.33899500,41.45588900"
2,,つがる市,tsugarushi,02209,"140.25001600,40.75697100 140.43807500,41.01199900"
2,,平川市,hirakawashi,02210,"140.50888900,40.40230600 140.87931500,40.63112900"
2,,東津軽郡平内町,higashitsugarugunhiranaimachi,02301,"140.83787400,40.80607800 141.08385500,41.01717600"
2,,東津軽郡今別町,higashitsugarugunimabetsumachi,02303,"140.40684400,41.10244500 140.60324600,41.22977700"
2,,東津軽郡蓬田村,higashitsugarugunyomogitamura,02304,"140.51572200,40.94790600 140.66059900,41.03680400"
2,,東津軽郡外ヶ浜町,higashitsugarugunsotogahamamachi,02307,"140.33800900,41.02215700 140.64914700,41.26302300"
2,,西津軽郡鰺ヶ沢町,nishitsugarugunajigasawamachi,02321,"140.06809900,40.43496900 140.33731100,40.80060300"
2,,西津軽郡深浦町,nishitsugarugunfukauramachi,02323,"139.85872200,40.41984200 140.16705900,40.76948300"
2,,中津軽郡西目屋村,nakatsugarugunnishimeyamura,02343,"140.11950400,40.43109800 140.34853400,40.61814100"
2,,南津軽郡藤崎町,minamitsugarugunfujisakimachi,02361,"140.46071500,40.64129900 140.57869000,40.72190700"
2,,南津軽郡大鰐町,minamitsugarugunoowanimachi,02362,"140.43320900,40.39708700 140.67886200,40.55000400"
2,,南津軽郡田舎館村,minamitsugaruguninakadatemura,02367,"140.49656500,40.61514600 140.58166500,40.67484300"
2,,北津軽郡板柳町,kitatsugarugunitayanagimachi,02381,"140.42664600,40.66613100 140.53645200,40.76017500"
2,,北津軽郡鶴田町,kitatsugaruguntsurutamachi,02384,"140.33973900,40.72183800 140.50126900,40.78976400"
2,,北津軽郡中泊町,kitatsugarugunnakadomarimachi,02387,"140.24880800,40.91931900 140.52258100,41.24919200"
2,,上北郡野辺地町,kamikitagunnohejimachi,02401,"141.03832900,40.83018800 141.25857600,40.97209900"
2,,上北郡七戸町,kamikitagunshichinohemachi,02402,"140.90118600,40.63312100 141.27134800,40.81630100"
2,,上北郡六戸町,kamikitagunrokunohemachi,02405,"141.25684600,40.56302500 141.38195500,40.70107200"
2,,上北郡横浜町,kamikitagunyokohamamachi,02406,"141.22089400,40.96942700 141.35325500,41.15788200"
2,,上北郡東北町,kamikitaguntouhokumachi,02408,"141.00675900,40.66445300 141.36786400,40.93009300"
2,,上北郡六ヶ所村,kamikitagunrokkashomura,02411,"141.23219700,40.83164500 141.40013200,41.13258200"
2,,上北郡おいらせ町,kamikitagunoirasechou,02412,"141.34379500,40.58198300 141.46481400,40.67400800"
2,,下北郡大間町,shimokitagunoomamachi,02423,"140.88200100,41.42077600 140.96775900,41.55624000"
2,,下北郡東通村,shimokitagunhigashidoorimura,02424,"141.22623600,41.10664800 141.46870100,41.43128900"
2,,下北郡風間浦村,shimokitagunkazamauramura,02425,"140.93417400,41.42070100 141.11587500,41.52955100"
2,,下北郡佐井村,shimokitagunsaimura,02426,"140.77817300,41.21022000 140.94062200,41.46866600"
2,,三戸郡三戸町,sannohegunsannohemachi,02441,"140.98148700,40.30481900 141.31699900,40.42193100"
2,,三戸郡五戸町,sannohegungonohemachi,02442,"141.17571200,40.41851800 141.42669800,40.58840300"
2,,三戸郡田子町,sannoheguntakkomachi,02443,"140.94403000,40.21775200 141.18350400,40.39643300"
2,,三戸郡南部町,sannohegunnambuchou,02445,"141.21182000,40.33041500 141.45365100,40.50456300"
2,,三戸郡階上町,sannohegunhashikamichou,02446,"141.51896600,40.35965500 141.68310200,40.47963400"
2,,三戸郡新郷村,sannohegunshingoumura,02450,"140.97879500,40.40091100 141.23846700,40.49874400"
3,,盛岡市,moriokashi,03201,"140.99594600,39.56378300 141.52733300,39.93028400"
3,,宮古市,miyakoshi,03202,"141.33700500,39.43881000 142.07251400,39.83124100"
3,,大船渡市,oofunatoshi,03203,"141.61669700,38.98226100 141.92162300,39.20288000"
3,,花巻市,hana-makishi,03205,"140.87867900,39.26019000 141.49573600,39.57717300"
3,,北上市,kitakamishi,03206,"140.81689900,39.17437300 141.25406800,39.48126800"
3,,久慈市,kuji-shi,03207,"141.45651100,40.00770500 141.87682700,40.29572400"
3,,遠野市,toonoshi,03208,"141.29960200,39.19225200 141.74618800,39.55832500"
3,,一関市,ichinosekishi,03209,"140.76408100,38.74751000 141.49437600,39.16239000"
3,,陸前高田市,rikuzentakatashi,03210,"141.46004600,38.93523300 141.72841700,39.12615800"
3,,釜石市,kamaishishi,03211,"141.65435400,39.16729000 141.99678100,39.41266700"
3,,二戸市,ninoheshi,03213,"141.02559000,40.08870600 141.38614700,40.37283500"
3,,八幡平市,hachimantaishi,03214,"140.84440200,39.83987600 141.17090400,40.24769900"
3,,奥州市,oushuushi,03215,"140.74895600,38.98535600 141.40675400,39.31889300"
3,,滝沢市,takizawashi,03216,"141.00035300,39.69005100 141.16840800,39.87927500"
3,,岩手郡雫石町,iwategunshizukuishichou,03301,"140.77468900,39.51777900 141.06226200,39.88626400"
3,,岩手郡葛巻町,iwategunkuzumakimachi,03302,"141.28758000,39.87410400 141.58897800,40.15360600"
3,,岩手郡岩手町,iwateguniwatemachi,03303,"141.12253700,39.83421200 141.43434200,40.08067500"
3,,紫波郡紫波町,shiwagunshiwachou,03321,"140.96150900,39.48209400 141.30947000,39.60755600"
3,,紫波郡矢巾町,shiwagunyahabachou,03322,"141.04386800,39.57039300 141.19779400,39.65099800"
3,,和賀郡西和賀町,wagagunnishiwagamachi,03366,"140.65301900,39.16509100 140.89787700,39.60409900"
3,,胆沢郡金ケ崎町,isawagunkanegasakichou,03381,"140.89153100,39.12978300 141.14261400,39.25901100"
3,,西磐井郡平泉町,nishiiwaigunhiraizumichou,03402,"141.00640300,38.94956700 141.19198700,39.02877200"
3,,気仙郡住田町,kesengunsumitachou,03441,"141.37343700,39.09575100 141.72897800,39.26679200"
3,,上閉伊郡大槌町,kamiheigunootsuchichou,03461,"141.70194800,39.34380700 141.96962900,39.52939000"
3,,下閉伊郡山田町,shimoheigunyamadamachi,03482,"141.74795000,39.39889500 142.06152300,39.56360600"
3,,下閉伊郡岩泉町,shimoheiguniwaizumichou,03483,"141.39491300,39.67653000 141.98124600,40.04842200"
3,,下閉伊郡田野畑村,shimoheiguntanohatamura,03484,"141.77074200,39.85695300 141.96411500,39.99067800"
3,,下閉伊郡普代村,shimoheigunfudaimura,03485,"141.79346500,39.96171900 141.94826300,40.05544700"
3,,九戸郡軽米町,kunohegunkarumaimachi,03501,"141.35000300,40.22067900 141.61235000,40.37735000"
3,,九戸郡野田村,kunohegunnodamura,03503,"141.73361900,40.01167500 141.85557800,40.13659400"
3,,九戸郡九戸村,kunohegunkunohemura,03506,"141.37346900,40.10310300 141.50721100,40.28078300"
3,,九戸郡洋野町,kunohegunhironochou,03507,"141.57052000,40.21382800 141.79553600,40.45045100"
3,,二戸郡一戸町,ninohegunichinohemachi,03524,"141.15798700,40.03102300 141.40179000,40.25165600"
4,4,仙台市青葉区,sendaishiaobaku,04101,"140.56320600,38.23646400 140.89976400,38.45467100"
4,4,仙台市宮城野区,sendaishimiyaginoku,04102,"140.88245300,38.22979400 141.04690800,38.34092200"
4,4,仙台市若林区,sendaishiwakabayashiku,04103,"140.87972300,38.17414900 140.99531000,38.26115900"
4,4,仙台市太白区,sendaishitaihakuku,04104,"140.46942100,38.17248600 140.93496900,38.37778600"
4,4,仙台市泉区,sendaishiizumiku,04105,"140.68746400,38.28723300 140.93223900,38.43396200"
4,,石巻市,ishinomakishi,04202,"141.16106300,38.24600800 141.58953600,38.63235100"
4,,塩竈市,shiogamashi,04203,"140.99365200,38.30240800 141.13654800,38.35710200"
